FromSlug,ToSlug,RelationType,Kind,Reason,ExpectedEffect
health/stress-signs,health/curled-gills-stress-signal,general -> specific,callout routing row,"stress-signs = umbrella; routes gill/tail posture sign to deep dive","closes state-space hole; splits stress intent"
health/stress-signs,health/why-axolotl-floating,general -> specific,callout routing row,"umbrella routes floating sign to position deep dive","closes state-space hole; splits stress intent"
health/stress-signs,health/refusing-to-eat,problem -> solution,existing rail kept,"appetite-loss is a stress sign with its own diagnosis","keeps appetite loss reachable from umbrella"
diet/feeding-schedule-by-age,diet/fasting-and-vacation,problem -> solution,callout + inline,"routine page off-ramps planned-fast capacity to the single owner","dedupes fast-duration questions"
health/refusing-to-eat,diet/fasting-and-vacation,problem -> solution,callout,"medical page clarifies planned fast vs refusal; links fasting owner","dedupes fast-duration questions; intent split"
health/fungal-infections-saprolegnia,health/black-tea-bath,problem -> solution,in-body decision box,"severity -> treatment map: mild = tea bath","decision made at diagnosis; single owner"
health/fungal-infections-saprolegnia,health/salt-bath,problem -> solution,in-body decision box,"severity -> treatment map: severe = salt bath","decision made at diagnosis; single owner"
health/impaction-symptoms-treatment,diet/overfeeding-and-impaction,symptom -> cause (reverse),table row + rail,"cause routing: overfeeding cause leads to its depth page","canonical diagnosis lands reader on right cause"
health/impaction-symptoms-treatment,tank-setup/substrate-and-impaction,symptom -> cause (reverse),table row + rail,"cause routing: substrate cause","canonical diagnosis lands reader on right cause"
health/impaction-symptoms-treatment,tank-setup/gravel-risks,symptom -> cause (reverse),table row + rail,"cause routing: gravel cause","canonical diagnosis lands reader on right cause"
diet/overfeeding-and-impaction,health/impaction-symptoms-treatment,problem -> solution,callout,"cause page links up to the canonical diagnosis","authority funnels to canonical owner"
tank-setup/substrate-and-impaction,health/impaction-symptoms-treatment,problem -> solution,callout,"cause page links up to the canonical diagnosis","authority funnels to canonical owner"
tank-setup/gravel-risks,health/impaction-symptoms-treatment,problem -> solution,callout,"cause page links up to the canonical diagnosis","authority funnels to canonical owner"
tank-setup/temperature,tank-setup/aquarium-chillers,comparison -> alternatives,existing rail + callout,"info page points to buying decision","differentiates the paired pages"
tank-setup/aquarium-chillers,tank-setup/temperature,comparison -> alternatives,existing rail + callout,"buying page points back to husbandry info","differentiates the paired pages"
tank-setup/filtration-for-axolotls,tank-setup/canister-vs-sponge-filter,general -> specific,existing rail + callout,"principles owner points to decision page","differentiates the paired pages"
