ID,Gap,ExistingCoverage,PPR_Assessment,Decision,BuildOrExpandTarget,PageRole,Justification,Priority
G1,"Water-change step-by-step (procedural)","water-parameters-cycling explains chemistry; setup-guide installs tank; NO how-to-perform-a-change page exists","Prominent (core tank cluster) + popular (top procedural query family) + relevant = strongest gap","BUILD","/tank-setup/water-change-guide (new, hub tank-setup)","Procedural","Genuine missing *procedure* on a canonical owner-less node; prerequisites (cycling) and actions (conditioners, ammonia links) already exist to thread; highest gap per Phase-9 audit",P1
G2,"Metamorphosis decision (owners with a metamorphosing axolotl)","neoteny (495w) explains neoteny in biology; axolotl-vs-tiger-salamander adjacent; NO owner-facing metamorphosis guidance","Moderate: relevant, low-demand-specific; no evidence a standalone page would be non-thin","EXPAND","/biology-and-science/neoteny (add owner-facing section)","Explanatory (kept)","Expand the biology owner instead of creating a thin new page; satisfies intent via biology -> practical vector",P1
G3,"Emergency / triage (what is urgent, what to do now)","finding-an-exotic-vet gives vet threshold but no urgency/priority ramp; individual symptom pages assume diagnosis already made","Relevant + high-directness for a decision intent no page owns","BUILD","/health/emergency-first-aid (new, hub health)","Diagnostic / Decision","Missing *decision* intent (urgent vs not, first steps before/for vet) that no existing page owns and vet page cannot absorb",P1
G4,"Healthy-stool diagnostics","parasite-treatment + malnutrition-signs + refusing-to-eat partially cover stool observations","Not evidenced; would be a thin page for a query family with no on-site demand data","DEFER","-","-","Requires GSC/GKP evidence before building; current coverage partial, no conclusive gap",P2
G5,"Additional legal states/countries","8 verified legal pages + framework; legality verified","Border-relevant but needs per-jurisdiction evidence of demand + authoritative legal sources","DEFER","-","-","Legal content must be source-verified; no demand data in this project to prioritize states; defer until evidence available (HARD STOP)",P2
G6,"How to test tank water (procedure)","water-parameters-cycling explains parameters but lacks a step-by-step testing procedure link to the tracker","Relevant prerequisite knowledge for the canonical cycling owner","EXPAND","/tank-setup/water-parameters-cycling (add short section + tool link)","Informational (kept)","Prerequisite-to-procedure fill for the existing canonical owner; avoids a thin new page; ties concept -> tool (cycle tracker)",P2
G7,"Chiller sizing calculator","aquarium-chillers covers sizing criteria; tank-size-calculator exists for volume","Low priority (tool); coverage adequate by judgment","DEFER","-","-","Tool additions gated on evidence; existing content + calculator cover the decision",P2
G8,"First-year total budget","cost-of-ownership-monthly covers monthly cost only; price-by-morph covers purchase; setup-guide lists setup gear","Relevant state (cumulative) missing on the canonical cost owner","EXPAND","/care-basics/cost-of-ownership-monthly (add first-year cumulative table)","Transactional (kept)","Genuine missing *state* (year-one total) on the lifetime-cost owner; cumulative math belongs on the owner page",P2
G9,"Nightcrawler sourcing","best-foods-list + live-vs-frozen-food + how-to-hand-feed cover sourcing/handling","No distinct entity/attribute desiring its own node","DEFER","-","-","Covered by existing pages; adding one would duplicate",P2
G10,"Hatchling-pellet transition","feeding-schedule-by-age + axolotl-pellets + blackworms-for-juveniles + egg-and-larvae-care cover the transition","No distinct node; already mapped across 4 owners","DEFER","-","-","Coverage complete via existing owners; no page created",P2
