url	title	cluster	role	primary_intent	primary_attribute	border	words	content_in
/	My Axolotl - Everything You Need to Know About Axolotls	meta	foundational	navigational	-	FUNCTIONAL	None	125
/404.html	Page Not Found	meta	hub	navigational	-	FUNCTIONAL	None	0
/about	About	meta	supporting	navigational	-	FUNCTIONAL	None	124
/axolotl-in-culture	Axolotls in Pop Culture: Minecraft, Memes & More	axolotl-in-culture	hub	navigational	culture	PERIPHERAL	None	124
/axolotl-in-culture/adopt-me-axolotl-guide	Axolotl in Adopt Me: How to Get One & All Colors (2026)	axolotl-in-culture	procedural	procedural	game	PERIPHERAL	517	2
/axolotl-in-culture/axolotl-in-pop-culture-and-memes	Axolotl in Pop Culture: Memes, Games, TV & Why They're Famous	axolotl-in-culture	explanatory	informational	culture	PERIPHERAL	439	2
/axolotl-in-culture/minecraft-axolotls-guide	Minecraft Axolotls: Spawning, Colors & How to Catch Them	axolotl-in-culture	procedural	procedural	game	PERIPHERAL	462	5
/axolotl-in-culture/why-axolotls-are-suddenly-popular	Why Are Axolotls So Popular? The Rise of a Cute Endangered Amphibian	axolotl-in-culture	explanatory	informational	culture	PERIPHERAL	564	4
/axolotls	Axolotls: Complete Care & Biology Guide (2026)	axolotls	hub	navigational	axolotl	CORE	None	124
/axolotls/care-guide	Axolotl Care Guide: Tank Setup, Water… | Axolotl Care Guide	axolotls	foundational	informational	axolotl	CORE	3060	8
/biology-and-science	Axolotl Biology: Anatomy, Neoteny & Regeneration Science	biology-and-science	hub	navigational	biology	ADJACENT	None	124
/biology-and-science/anatomy-gills-and-lungs	Do Axolotls Have Lungs? Anatomy of Gills & Breathing	biology-and-science	explanatory	definitional	anatomy	ADJACENT	627	3
/biology-and-science/axolotl-vs-tiger-salamander	Axolotl vs Tiger Salamander: Key Differences Explained	biology-and-science	comparative	comparative	species	PERIPHERAL	654	3
/biology-and-science/conservation-status	Axolotl Conservation Status: Critically Endangered, Explained	biology-and-science	explanatory	informational	conservation	ADJACENT	743	5
/biology-and-science/is-axolotl-amphibian	Is an Axolotl an Amphibian? Yes - Here's Why	biology-and-science	explanatory	definitional	taxonomy	ADJACENT	614	4
/biology-and-science/lifespan-wild-vs-captivity	Axolotl Lifespan: How Long Do Axolotls Live?	biology-and-science	explanatory	informational	longevity	OUTER	639	2
