source_url,target_url,relationship,priority,mechanism,anchor_text,status,reason
/biology-and-science/anatomy-gills-and-lungs/,/health/shrinking-gills/,biology -> practical application | gills change shape with health/water issues,P0,related-rail,(destination title),implemented,Anatomy page states gills 'change shape with stress and water quality'; shrinking-gills is the care application.
/health/shrinking-gills/,/biology-and-science/anatomy-gills-and-lungs/,symptom -> underlying anatomy,P0,related-rail,(destination title),implemented,Shrinking/curling gills are the same organ the anatomy page explains; connects care symptom to biology.
/biology-and-science/anatomy-gills-and-lungs/,/health/stress-signs/,biology -> practical application | gills as health indicator,P0,inline,health indicator,implemented,The exact phrase 'health indicator' already exists; stress-signs is the operational checklist.
/biology-and-science/anatomy-gills-and-lungs/,/health/why-axolotl-floating/,natural physiology -> captive-care implication,P1,inline,Surface gulping,implemented,'Surface gulping ... is normal behavior' directly connects to the floating page's swallowed-air section.
/health/limb-regeneration/,/biology-and-science/regeneration-and-limb-regrowth/,healing experience -> underlying science,P0,related-rail,(destination title),implemented,Limb-regeneration page describes the mechanism; the biology page explains why it happens. Reciprocates the existing biology->health edge.
/biology-and-science/regeneration-and-limb-regrowth/,/health/minor-scrapes-and-wounds/,science -> practical wound care,P0,related-rail,(destination title),implemented,Regeneration page explains wound closure; minor-scrapes is the everyday application for the same mechanism.
/health/curled-gills-stress-signal/,/biology-and-science/anatomy-gills-and-lungs/,symptom -> causal organ,P1,related-rail,(destination title),implemented,Curled gills are a gill-structure symptom; the anatomy page explains why gills respond to stress.
/health/malnutrition-signs/,/biology-and-science/regeneration-and-limb-regrowth/,biology rationale -> recovery caveat,P1,related-rail,(destination title),implemented,Malnutrition page itself notes 'how much their biology depends on regeneration'; links the cited biology.
/health/fungal-infections-saprolegnia/,/biology-and-science/anatomy-gills-and-lungs/,anatomy -> treatment sensitivity,P1,related-rail,(destination title),implemented,Fungal page explains skin/external-gill permeability; anatomy page is the underlying physiology.
/breeding/egg-and-larvae-care/,/diet/shrimp-for-axolotls/,procedure -> food item | first food is baby brine shrimp,P0,related-rail,(destination title),implemented,Larvae care directs feeding live baby brine shrimp; the shrimp page covers that food in detail.
/breeding/egg-and-larvae-care/,/diet/feeding-schedule-by-age/,life stage -> feeding frequency,P0,related-rail,(destination title),implemented,Hatchlings feeding 2-3x/day is covered by the age-based schedule page.
/breeding/raising-juveniles/,/diet/feeding-schedule-by-age/,procedure -> schedule,P0,related-rail,(destination title),implemented,Raising page has a 'How Often Do You Feed Baby Axolotls' section; the schedule page is its reference.
/breeding/raising-juveniles/,/diet/blackworms-for-juveniles/,procedure -> staple food,P0,related-rail,(destination title),implemented,Juvenile staple food is blackworms; the dedicated diet page covers preparation and feeding.
/diet/shrimp-for-axolotls/,/breeding/egg-and-larvae-care/,food item -> life stage that needs it,P1,related-rail,(destination title),implemented,Shrimp page mentions baby brine shrimp for hatchlings; the breeding page explains that stage. Reciprocal of egg->shrimp.
/diet/blackworms-for-juveniles/,/breeding/raising-juveniles/,feeding -> post-breeding husbandry,P1,related-rail,(destination title),implemented,Juveniles come from the breeding process; reciprocal of raising->blackworms.
/diet/feeding-schedule-by-age/,/breeding/raising-juveniles/,schedule -> lifecycle context,P1,related-rail,(destination title),implemented,Juvenile stage is the breeding outcome; reciprocal of raising->feeding-schedule.
/axolotls/care-guide/,/legal/,ownership decision -> legal status -> jurisdiction,P0,inline(2)+related-rail,Check your specific state and city before you buy / before buying,implemented,Care-guide's legal section is a dead-letter reference; the exact gate the audit identified.
/axolotl-in-culture/adopt-me-axolotl-guide/,/legal/,virtual ownership -> real-world legality,P1,inline,check your local laws first,implemented,Adopt-Me page already says 'check your local laws first'; links the legal hub that answers it.
/tools,/tank-setup/setup-guide/,tool -> prerequisite knowledge,P1,tools-index,(destination title),implemented,Grounds the tool hub: the setup guide is the baseline all tools assume.
/tools,/tank-setup/water-parameters-cycling/,tool -> referenced science,P1,tools-index,(destination title),implemented,Nitrogen-cycle tracker and dosage calculator depend on the cycling science.
/tools,/diet/feeding-schedule-by-age/,tool -> referenced schedule,P1,tools-index,(destination title),implemented,Feeding-schedule generator operationalizes this article; fixes the /tools dead end.
/tools,/health/refusing-to-eat/,tool -> action pathway,P1,tools-index,(destination title),implemented,Symptom checker funnels to refusing-to-eat as the first next step; fixes the /tools dead end.
