url	title	cluster	role	primary_intent	primary_attribute	border	words	content_in	primary_entity	key_relationships
/	My Axolotl - Everything You Need to Know About Axolotls	meta	foundational	navigational	-	FUNCTIONAL	None	125	Axolotl guide site	/axolotls/care-guide; /biology-and-science/regeneration-and-limb-regrowth; /diet/best-foods-list; /diet/feeding-schedule-by-age; /health/refusing-to-eat; /tank-setup/setup-guide; /tank-setup/water-parameters-cycling
/404.html	Page Not Found	meta	hub	navigational	-	FUNCTIONAL	None	0	Axolotl guide site	-
/about	About	meta	supporting	navigational	-	FUNCTIONAL	None	124	Axolotl guide site	-
/axolotl-in-culture	Axolotls in Pop Culture: Minecraft, Memes & More	axolotl-in-culture	hub	navigational	culture	PERIPHERAL	None	124	Axolotl (as cultural icon)	/axolotl-in-culture/adopt-me-axolotl-guide; /axolotl-in-culture/axolotl-in-pop-culture-and-memes; /axolotl-in-culture/minecraft-axolotls-guide; /axolotl-in-culture/why-axolotls-are-suddenly-popular
/axolotl-in-culture/adopt-me-axolotl-guide	Axolotl in Adopt Me: How to Get One & All Colors (2026)	axolotl-in-culture	procedural	procedural	game	PERIPHERAL	517	2	Axolotl (as cultural icon)	/axolotl-in-culture/minecraft-axolotls-guide; /care-basics/axolotl-facts; /cost-and-buying/axolotl-price-by-morph
/axolotl-in-culture/axolotl-in-pop-culture-and-memes	Axolotl in Pop Culture: Memes, Games, TV & Why They're Famous	axolotl-in-culture	explanatory	informational	culture	PERIPHERAL	439	2	Axolotl (as cultural icon)	/axolotl-in-culture/minecraft-axolotls-guide; /axolotl-in-culture/why-axolotls-are-suddenly-popular; /gifts-and-merch/axolotl-squishmallow-guide
/axolotl-in-culture/minecraft-axolotls-guide	Minecraft Axolotls: Spawning, Colors & How to Catch Them	axolotl-in-culture	procedural	procedural	game	PERIPHERAL	462	5	Axolotl (as cultural icon)	/axolotl-in-culture/axolotl-in-pop-culture-and-memes; /axolotl-in-culture/why-axolotls-are-suddenly-popular; /gifts-and-merch/best-axolotl-toys-and-plushies
/axolotl-in-culture/why-axolotls-are-suddenly-popular	Why Are Axolotls So Popular? The Rise of a Cute Endangered Amphibian	axolotl-in-culture	explanatory	informational	culture	PERIPHERAL	564	4	Axolotl (as cultural icon)	/axolotl-in-culture/adopt-me-axolotl-guide; /axolotl-in-culture/minecraft-axolotls-guide; /biology-and-science/conservation-status; /care-basics/axolotl-facts
/axolotls	Axolotls: Complete Care & Biology Guide (2026)	axolotls	hub	navigational	axolotl	CORE	None	124	Axolotl (species/subject)	/axolotls/care-guide
/axolotls/care-guide	Axolotl Care Guide: Tank Setup, Water… | Axolotl Care Guide	axolotls	foundational	informational	axolotl	CORE	3060	8	Axolotl (species/subject)	/health/refusing-to-eat; /tank-setup/aquarium-chillers; /tank-setup/setup-guide; /tank-setup/substrate-and-impaction; /tank-setup/water-parameters-cycling
/biology-and-science	Axolotl Biology: Anatomy, Neoteny & Regeneration Science	biology-and-science	hub	navigational	biology	ADJACENT	None	124	Axolotl biology	/biology-and-science/anatomy-gills-and-lungs; /biology-and-science/axolotl-vs-tiger-salamander; /biology-and-science/conservation-status; /biology-and-science/is-axolotl-amphibian; /biology-and-science/lifespan-wild-vs-captivity; /biology-and-science/neoteny; /biology-and-science/regeneration-and-limb-regrowth; /biology-and-science/wild-habitat-xochimilco
/biology-and-science/anatomy-gills-and-lungs	Do Axolotls Have Lungs? Anatomy of Gills & Breathing	biology-and-science	explanatory	definitional	anatomy	ADJACENT	627	3	Axolotl biology	/biology-and-science/is-axolotl-amphibian; /biology-and-science/neoteny; /biology-and-science/wild-habitat-xochimilco
/biology-and-science/axolotl-vs-tiger-salamander	Axolotl vs Tiger Salamander: Key Differences Explained	biology-and-science	comparative	comparative	species	PERIPHERAL	654	3	Axolotl biology	/biology-and-science/is-axolotl-amphibian; /biology-and-science/neoteny
/biology-and-science/conservation-status	Axolotl Conservation Status: Critically Endangered, Explained	biology-and-science	explanatory	informational	conservation	ADJACENT	743	5	Axolotl biology	/axolotl-in-culture/why-axolotls-are-suddenly-popular; /biology-and-science/lifespan-wild-vs-captivity; /biology-and-science/neoteny; /biology-and-science/wild-habitat-xochimilco
/biology-and-science/is-axolotl-amphibian	Is an Axolotl an Amphibian? Yes - Here's Why	biology-and-science	explanatory	definitional	taxonomy	ADJACENT	614	4	Axolotl biology	/biology-and-science/anatomy-gills-and-lungs; /biology-and-science/axolotl-vs-tiger-salamander
/biology-and-science/lifespan-wild-vs-captivity	Axolotl Lifespan: How Long Do Axolotls Live?	biology-and-science	explanatory	informational	longevity	OUTER	639	2	Axolotl biology	/biology-and-science/conservation-status; /biology-and-science/wild-habitat-xochimilco
/biology-and-science/neoteny	What Is Neoteny? Why Axolotls Never Grow Up	biology-and-science	explanatory	definitional	development	ADJACENT	495	6	Axolotl biology	/biology-and-science/axolotl-vs-tiger-salamander; /biology-and-science/is-axolotl-amphibian
/biology-and-science/regeneration-and-limb-regrowth	Axolotl Regeneration: How They Regrow Limbs & Body Parts	biology-and-science	explanatory	informational	regeneration	ADJACENT	629	3	Axolotl biology	/biology-and-science/anatomy-gills-and-lungs; /biology-and-science/neoteny; /health/limb-regeneration
/biology-and-science/wild-habitat-xochimilco	Axolotl Habitat: Life in Xochimilco, Mexico City	biology-and-science	explanatory	informational	habitat	ADJACENT	627	4	Axolotl biology	/biology-and-science/conservation-status; /biology-and-science/neoteny
/breeding	How to Breed Axolotls: Complete Breeding Guide (2026)	breeding	hub	navigational	breeding	ADJACENT	None	124	Axolotl breeding/life-cycle	/breeding/breeding-triggers-temperature-cycling; /breeding/color-genetics-punnett-squares; /breeding/egg-and-larvae-care; /breeding/genetics-and-inbreeding; /breeding/raising-juveniles; /breeding/sexing-axolotls
/breeding/breeding-triggers-temperature-cycling	How to Trigger Axolotl Breeding: Temperature & Light Cycling	breeding	procedural	procedural	breeding	ADJACENT	800	4	Axolotl breeding/life-cycle	/breeding/egg-and-larvae-care; /breeding/sexing-axolotls
/breeding/color-genetics-punnett-squares	Axolotl Color Genetics: Punnett Squares Explained	breeding	explanatory	informational	genetics	ADJACENT	852	9	Axolotl breeding/life-cycle	/breeding/genetics-and-inbreeding; /morphs/chimera; /morphs/wild-type
/breeding/egg-and-larvae-care	Axolotl Egg Care: Hatching Time, Setup & Feeding Larvae	breeding	procedural	procedural	larvae	ADJACENT	836	5	Axolotl breeding/life-cycle	/breeding/breeding-triggers-temperature-cycling; /breeding/raising-juveniles
/breeding/genetics-and-inbreeding	Axolotl Genetics & Inbreeding Risk: What Breeders Must Know	breeding	explanatory	informational	genetics	ADJACENT	631	3	Axolotl breeding/life-cycle	/breeding/color-genetics-punnett-squares; /breeding/raising-juveniles
/breeding/raising-juveniles	Raising Baby Axolotls: Feeding, Growth & Rehoming Juveniles	breeding	procedural	procedural	juveniles	ADJACENT	832	4	Axolotl breeding/life-cycle	/breeding/egg-and-larvae-care; /breeding/genetics-and-inbreeding
/breeding/sexing-axolotls	How to Tell Axolotl Gender: Male vs Female Cloaca Guide	breeding	procedural	procedural	sex	ADJACENT	608	2	Axolotl breeding/life-cycle	/breeding/breeding-triggers-temperature-cycling; /breeding/raising-juveniles
/care-basics	Axolotl Care Basics: Facts, Behavior & Beginner Tips	care-basics	hub	navigational	ownership	CORE	None	124	Axolotl (as pet)	/care-basics/are-axolotls-good-beginner-pets; /care-basics/axolotl-age-and-size-chart; /care-basics/axolotl-facts; /care-basics/axolotl-intelligence-and-bonding; /care-basics/axolotls-and-children; /care-basics/behavior; /care-basics/cost-of-ownership-monthly; /care-basics/handling; /care-basics/how-to-pronounce-axolotl; /care-basics/keeping-multiple-axolotls
/care-basics/are-axolotls-good-beginner-pets	Are Axolotls Good Pets for Beginners? Honest Pros & Cons	care-basics	explanatory	definitional	suitability	CORE	1028	5	Axolotl (as pet)	/care-basics/axolotls-and-children; /care-basics/cost-of-ownership-monthly; /cost-and-buying/breeder-vs-pet-store; /tank-setup/setup-guide
/care-basics/axolotl-age-and-size-chart	Axolotl Age & Size Chart: How Big They Get at Every Stage	care-basics	explanatory	definitional	growth	CORE	1030	2	Axolotl (as pet)	/breeding/egg-and-larvae-care; /care-basics/are-axolotls-good-beginner-pets; /diet/feeding-schedule-by-age
/care-basics/axolotl-facts	Axolotl Facts: 25 Amazing Things You Need to Know (2026)	care-basics	explanatory	informational	species	CORE	1047	4	Axolotl (as pet)	/biology-and-science/conservation-status; /biology-and-science/regeneration-and-limb-regrowth; /care-basics/how-to-pronounce-axolotl
/care-basics/axolotl-intelligence-and-bonding	Do Axolotls Recognize Their Owners? Bonding & Intelligence	care-basics	explanatory	informational	behavior	CORE	1016	2	Axolotl (as pet)	/care-basics/behavior; /care-basics/handling
/care-basics/axolotls-and-children	Are Axolotls Good Pets for Kids? What Parents Must Know	care-basics	explanatory	definitional	suitability	CORE	986	3	Axolotl (as pet)	/care-basics/are-axolotls-good-beginner-pets; /care-basics/handling; /cost-and-buying/how-to-choose-a-healthy-axolotl; /tank-setup/setup-guide
/care-basics/behavior	Axolotl Behavior Explained: What Every Owner Should Know	care-basics	diagnostic	problem-solving	behavior	CORE	895	3	Axolotl (as pet)	/care-basics/axolotl-intelligence-and-bonding; /health/curled-gills-stress-signal; /health/why-axolotl-floating
/care-basics/cost-of-ownership-monthly	Axolotl Monthly Cost: Budget for Food, Water & Supplies (2026)	care-basics	transactional	transactional	cost	OUTER	830	3	Axolotl (as pet)	/care-basics/are-axolotls-good-beginner-pets; /cost-and-buying/axolotl-price-by-morph; /tank-setup/aquarium-chillers; /tank-setup/setup-guide
/care-basics/handling	How to Hold an Axolotl: Safe Handling, Netting & Transport	care-basics	procedural	procedural	handling	CORE	798	3	Axolotl (as pet)	/care-basics/axolotls-and-children; /care-basics/keeping-multiple-axolotls; /tank-setup/setup-guide
/care-basics/how-to-pronounce-axolotl	How to Pronounce Axolotl: Correct Way & Common Mistakes	care-basics	explanatory	definitional	language	PERIPHERAL	524	2	Axolotl (as pet)	/axolotls/care-guide; /care-basics/axolotl-facts
/care-basics/keeping-multiple-axolotls	Can Axolotls Live Together? Housing Multiple Axolotls Safely	care-basics	explanatory	informational	housing	CORE	712	3	Axolotl (as pet)	/care-basics/are-axolotls-good-beginner-pets; /care-basics/behavior; /tank-setup/tank-size-by-age
/contact	Contact	meta	supporting	navigational	-	FUNCTIONAL	None	124	Axolotl guide site	-
