url,cluster,border,primary_intent,words,content_in,in_bound_content,out_bound_content,cross_cluster_out
/,meta,FUNCTIONAL,navigational,None,125,0,7,0
/404.html,meta,FUNCTIONAL,navigational,None,0,0,0,0
/about,meta,FUNCTIONAL,navigational,None,124,0,0,0
/axolotl-in-culture,axolotl-in-culture,PERIPHERAL,navigational,None,124,0,4,0
/axolotl-in-culture/adopt-me-axolotl-guide,axolotl-in-culture,PERIPHERAL,procedural,517,2,2,3,2
/axolotl-in-culture/axolotl-in-pop-culture-and-memes,axolotl-in-culture,PERIPHERAL,informational,439,2,2,3,1
/axolotl-in-culture/minecraft-axolotls-guide,axolotl-in-culture,PERIPHERAL,procedural,462,5,5,3,1
/axolotl-in-culture/why-axolotls-are-suddenly-popular,axolotl-in-culture,PERIPHERAL,informational,564,4,4,4,2
/axolotls,axolotls,CORE,navigational,None,124,0,1,0
/axolotls/care-guide,axolotls,CORE,informational,3060,8,8,5,5
/biology-and-science,biology-and-science,ADJACENT,navigational,None,124,0,8,0
/biology-and-science/anatomy-gills-and-lungs,biology-and-science,ADJACENT,definitional,627,3,3,3,0
/biology-and-science/axolotl-vs-tiger-salamander,biology-and-science,PERIPHERAL,comparative,654,3,3,2,0
/biology-and-science/conservation-status,biology-and-science,ADJACENT,informational,743,5,5,4,1
/biology-and-science/is-axolotl-amphibian,biology-and-science,ADJACENT,definitional,614,4,4,2,0
/biology-and-science/lifespan-wild-vs-captivity,biology-and-science,OUTER,informational,639,2,2,2,0
/biology-and-science/neoteny,biology-and-science,ADJACENT,definitional,495,6,6,2,0
/biology-and-science/regeneration-and-limb-regrowth,biology-and-science,ADJACENT,informational,629,3,3,3,1
/biology-and-science/wild-habitat-xochimilco,biology-and-science,ADJACENT,informational,627,4,4,2,0
/breeding,breeding,ADJACENT,navigational,None,124,0,6,0
/breeding/breeding-triggers-temperature-cycling,breeding,ADJACENT,procedural,800,4,4,2,0
/breeding/color-genetics-punnett-squares,breeding,ADJACENT,informational,852,9,9,3,2
/breeding/egg-and-larvae-care,breeding,ADJACENT,procedural,836,5,5,2,0
/breeding/genetics-and-inbreeding,breeding,ADJACENT,informational,631,3,3,2,0
/breeding/raising-juveniles,breeding,ADJACENT,procedural,832,4,4,2,0
/breeding/sexing-axolotls,breeding,ADJACENT,procedural,608,2,2,2,0
/care-basics,care-basics,CORE,navigational,None,124,0,10,0
/care-basics/are-axolotls-good-beginner-pets,care-basics,CORE,definitional,1028,5,5,4,2
/care-basics/axolotl-age-and-size-chart,care-basics,CORE,definitional,1030,2,2,3,2
/care-basics/axolotl-facts,care-basics,CORE,informational,1047,4,4,3,2
/care-basics/axolotl-intelligence-and-bonding,care-basics,CORE,informational,1016,2,2,2,0
/care-basics/axolotls-and-children,care-basics,CORE,definitional,986,3,3,4,2
/care-basics/behavior,care-basics,CORE,problem-solving,895,3,3,3,2
/care-basics/cost-of-ownership-monthly,care-basics,OUTER,transactional,830,3,3,4,3
/care-basics/handling,care-basics,CORE,procedural,798,3,3,3,1
/care-basics/how-to-pronounce-axolotl,care-basics,PERIPHERAL,definitional,524,2,2,2,1
/care-basics/keeping-multiple-axolotls,care-basics,CORE,informational,712,3,3,3,1
/contact,meta,FUNCTIONAL,navigational,None,124,0,0,0
/cost-and-buying,cost-and-buying,OUTER,navigational,None,124,0,6,0
/cost-and-buying/axolotl-price-by-morph,cost-and-buying,OUTER,transactional,544,6,6,3,3
/cost-and-buying/breeder-vs-pet-store,cost-and-buying,OUTER,comparative,502,4,4,2,0
/cost-and-buying/choosing-a-reputable-breeder,cost-and-buying,OUTER,transactional,670,4,4,2,0
/cost-and-buying/how-to-choose-a-healthy-axolotl,cost-and-buying,OUTER,procedural,549,4,4,2,0
/cost-and-buying/red-flags-when-buying,cost-and-buying,OUTER,transactional,552,3,3,2,0
/cost-and-buying/shipping-live-axolotls,cost-and-buying,OUTER,procedural,524,2,2,2,0
/diet,diet,CORE,navigational,None,124,0,12,0
/diet/axolotl-pellets,diet,CORE,comparative,2956,2,2,2,0
/diet/beef-heart,diet,CORE,definitional,1585,2,2,2,0
/diet/best-foods-list,diet,CORE,informational,3041,8,8,4,0
/diet/blackworms-for-juveniles,diet,OUTER,procedural,1380,2,2,2,0
/diet/fasting-and-vacation,diet,OUTER,procedural,2457,2,2,2,0
/diet/feeder-fish-risks,diet,CORE,problem-solving,3702,5,5,2,0
/diet/feeding-schedule-by-age,diet,CORE,procedural,1763,8,9,2,0
/diet/how-to-hand-feed,diet,CORE,procedural,2442,2,2,2,0
/diet/live-vs-frozen-food,diet,CORE,comparative,2493,5,5,3,1
/diet/overfeeding-and-impaction,diet,CORE,problem-solving,2891,6,6,3,2
/diet/shrimp-for-axolotls,diet,CORE,definitional,2209,2,1,2,0
/diet/vitamin-and-supplement-needs,diet,CORE,informational,1023,2,2,2,1
/gifts-and-merch,gifts-and-merch,PERIPHERAL,navigational,None,124,0,4,0
/gifts-and-merch/axolotl-squishmallow-guide,gifts-and-merch,PERIPHERAL,transactional,807,4,4,2,0
/gifts-and-merch/best-axolotl-lego-sets,gifts-and-merch,PERIPHERAL,transactional,610,2,2,2,1
/gifts-and-merch/best-axolotl-toys-and-plushies,gifts-and-merch,PERIPHERAL,transactional,979,5,5,3,0
/gifts-and-merch/build-a-bear-axolotl-guide,gifts-and-merch,PERIPHERAL,transactional,653,3,3,2,0
/health,health,CORE,navigational,None,124,0,18,0
/health/ammonia-burns,health,CORE,diagnostic,951,2,2,3,1
/health/black-tea-bath,health,CORE,procedural,2657,4,4,2,0
/health/curled-gills-stress-signal,health,CORE,diagnostic,1061,5,5,4,1
/health/finding-an-exotic-vet,health,OUTER,transactional,519,2,2,4,0
/health/fridging-sick-axolotl,health,CORE,procedural,2989,4,4,2,0
/health/fungal-infections-saprolegnia,health,CORE,diagnostic,1791,10,10,3,0
/health/impaction-symptoms-treatment,health,CORE,diagnostic,537,2,3,4,2
/health/limb-regeneration,health,ADJACENT,informational,860,3,3,2,0
/health/malnutrition-signs,health,CORE,diagnostic,1923,3,4,2,1
/health/minor-scrapes-and-wounds,health,CORE,procedural,933,2,2,3,0
/health/parasite-treatment,health,CORE,diagnostic,1563,2,3,5,2
/health/quarantine-tub,health,CORE,procedural,1024,5,5,3,0
/health/red-leg-syndrome,health,CORE,diagnostic,999,3,3,3,0
/health/refusing-to-eat,health,CORE,diagnostic,3347,11,12,2,1
/health/salt-bath,health,CORE,procedural,2277,3,3,2,0
/health/shrinking-gills,health,CORE,diagnostic,1076,2,2,3,2
/health/stress-signs,health,CORE,diagnostic,576,2,3,4,1
