ID,Issue,Entity,Attribute,Intent,CurrentRole,CorrectRole,CanonicalOwner,Action,RedirectNeeded,Reason,SemanticRelationship,Risk,Priority
C1,"/axolotls hub title/intent collides with /axolotls/care-guide (both claim the 'care guide' query)",axolotl,care,navigational / informational,Hub / Foundational,Hub = exploration & navigation index; care-guide = sole procedural (Foundational) owner,"/axolotls/care-guide owns procedural care intent; /axolotls/ owns navigation/exploration","Retitle hub to index framing (title_tag/meta/h1/intro); search routes 'care guide'/'how to care' to the article via role-aware routing + dedupe",No,"Different roles (Hub vs Foundational, methodology 13) = legitimate overlap; the defect is that both titles target the same dominant query","parent -> child (hub -> spoke)",low,P0
C2,"stress trio: stress-signs (576w) vs curled-gills-stress-signal (1061w) vs why-axolotl-floating (1588w) all claim 'stress'",axolotl,stress state / gill posture / float position,diagnostic,"Diagnostic (umbrella) / Diagnostic (specific state) / Diagnostic (specific state)","stress-signs = Diagnostic umbrella for ALL stress signs, with a sign->page routing table; curled-gills and floating = state-specific deep dives","stress-signs owns general stress diagnosis; curled-gills owns gill/tail posture; why-axolotl-floating owns floating/buoyancy","Keep all three. Add role statement + routing callout on stress-signs (general->specific); no consolidation, no redirect",No,"Distinct attributes/states at different specificity = legitimate overlap (methodology 6/12). Thinness fixed by making the umbrella role explicit, not by merging","general -> specific",medium,P0
C10,"fasting-duration content triplicated in feeding-schedule-by-age, fasting-and-vacation, refusing-to-eat",axolotl,planned vs medical fasting,procedural / procedural / diagnostic,"Procedural (routine) / Procedural (planned-fast owner) / Diagnostic (medical)","feeding-schedule-by-age = routine lifecycle feeding by age; fasting-and-vacation = sole owner of planned-fast duration/capacity; refusing-to-eat = medical appetite-loss (medical scope)","fasting-and-vacation owns the fast-duration reference; feeding-schedule and refusing-to-eat keep their scope with an off-ramp","Keep pages (distinct intents). One canonical fast-duration table on fasting-and-vacation; feeding-schedule & refusing-to-eat get role callouts + contextual links instead of duplicate tables",No,"Distinct dominant intents legitimately separate; duplication is passages, not pages","problem -> solution; sibling editorial",low,P0
P0-A1,"Weak tier-1 anchor: /morphs/leucistic 611w partial despite 10 inbound",leucistic morph,appearance / genetics / rarity / price,definitional,Explanatory,Explanatory complete,"/morphs/leucistic (kept as definitional owner)","Expand via build-level EXTRA_SECTIONS: 'How Rare Is a Leucistic Axolotl, and What Does One Cost?' (links price-by-morph, comparison chart) + 'Leucistic vs Golden Albino at a Glance' (links golden-albino)",No,"High PPR (popular + relevant, low prominence-depth) per methodology 10; E-A-V price/rarity states missing","general -> specific; comparison -> alternatives",low,P0
P0-A2,"Weak tier-1 anchor: /morphs/wild-type 881w partial despite 9 inbound",wild-type morph,appearance / variants / rarity / conservation,definitional,Explanatory,Explanatory complete,"/morphs/wild-type (kept as definitional owner)","Expand via EXTRA_SECTIONS: 'Wild Type Variants and Color Intensity' (high-yellow, hypomelanistic; links pigment-cells) + 'Rarity, Price, and Availability' (links price-by-morph, breeder-vs-pet-store) + 'The Wild Population Behind the Pet' (links conservation-status, wild-habitat-xochimilco)",No,"High PPR; value-state space (variants) and rarity/price states missing","general -> specific; biology -> practical",low,P0
P0-A3,"Weak tier-1 anchor: /breeding/color-genetics-punnett-squares 852w partial despite 9 inbound",breeding/genotype,inheritance prediction,informational,Explanatory,Explanatory complete,"/breeding/color-genetics-punnett-squares (kept as genetics reference)","Expand via EXTRA_SECTIONS: 'Limitations of Punnett Squares' (chimeras/mosaics/GFP polygenes; links chimera, mosaic, pigment-cells) + 'Worked Example: Leucistic × Albino Two-Gene Cross'",No,"High PPR; the caveat/state-space and a worked multi-gene example are missing for a reference-class page","general -> specific; prerequisite -> procedure",low,P0
C3,"temperature (5826w procedural) vs aquarium-chillers (2699w comparative) share 'cooling'",axolotl water,temperature,cooling,procedural / comparative,"temperature = information pillar (how to keep cool, husbandry); aquarium-chillers = buying-decision comparison","temperature owns 'is my tank too warm / how to cool' info; aquarium-chillers owns the purchase decision","Role callouts on both (info vs buying); reciprocal LINKING stays; no content merge",No,"Distinct dominant intents (procedural vs comparative, methodology 6)","comparison -> alternatives",low,P1
C4,"filtration-for-axolotls (4274w) vs canister-vs-sponge-filter (6117w) both comparative",filtration,flow & media,comparative / comparative,"Comparative / Comparative","filtration-for-axolotls = principles + option overview (relabeled informational via intro_override); canister-vs-sponge-filter = the single head-to-head decision","filtration-for-axolotls owns principles/biology and short overview; canister-vs-sponge owns the canister-vs-sponge decision","intro_override on filtration-for-axolotls to 'principles and how to choose' framing + role callouts; reciprocal",No,"Same intent + same entity is real overlap unless roles differ; relabel to principles-owner satisfies methodology 6/13","general -> specific",low,P1
C5,"fungal trio: fungal-infections-saprolegnia (1791w) + black-tea-bath (2657w) + salt-bath (2277w)",Saprolegnia,fungus treatment,diagnostic / procedural / procedural,Diagnostic / Procedural / Procedural,"fungal-infections = diagnosis + severity -> treatment decision map; tea-bath = mild first-line procedure; salt-bath = severe procedure","fungal-infections-saprolegnia owns the 'which treatment' decision; tea/salt own their procedures","Decision box on fungal page (mild -> tea, severe -> salt) + scope callouts on tea/salt",No,"Distinct intent (diagnostic vs procedural)","problem -> solution",low,P1
C6,"impaction 4-way: impaction-symptoms-treatment (537w) vs overfeeding-and-impaction (2891w) vs substrate-and-impaction (4029w) vs gravel-risks (2647w)",axolotl,impaction,diagnostic / problem-solving / informational / problem-solving,Diagnostic / ... ,"impaction-symptoms-treatment = canonical diagnostic landing (thicken + cause-based routing); each cause page owns its specific cause","impaction-symptoms-treatment owns the diagnosis + all-cause routing; overfeeding/substrate/gravel pages own their cause detail","Thicken impaction page (impaction vs constipation + cause-routing table linking the three cause pages); role callouts on each cause page linking back to the canonical",No,"Distinct cause-attributes are legitimate; the canonical diagnostic page is merely too thin (537w)","symptom -> cause (reverse), general -> specific",low,P1
C7,"pre-purchase trio: are-axolotls-good-beginner-pets (1028w), axolotls-and-children (986w), cost-of-ownership-monthly (830w)",axolotl,commitment / children / cost,definitional / definitional / transactional,Definitional / Definitional / Transactional,"cost-of-ownership-monthly = single cost owner (incl. first-year); beginner + children pages own the commitment/child questions","cost-of-ownership-monthly owns all cost states; the two definitional pages own suitability","Cross-nav trio links; cost passages reference cost page instead of restating; expand first-year budget section on cost page",No,"Distinct questions (fitness vs cost) legitimately separate; dedupe duplicated cost passages","sibling; parent -> child",low,P1
C8,"regeneration pair: biology-and-science/regeneration-and-limb-regrowth (629w) vs health/limb-regeneration (860w)",axolotl,regeneration,informational / informational,"Explanatory / Supporting (owner-facing)","biology page = science of why limb regrows; health/limb-regeneration = what an owner does when limb is damaged","biology page explains mechanism; health/limb-regeneration is the owner-facing practical answer","intro_override + role callouts clarifying science-vs-owner lane; reciprocal link kept",No,"Different semantic roles (Explanatory vs Supporting) with separate audiences = legitimate","biology -> practical application",low,P1
C9,"morphs-comparison-chart (466w) vs 13 individual morph pages",morph,morph comparison,comparative / definitional,"Comparative consolidator / Definitional","chart = comparative reference owner; individual morph pages = definitional owners","chart is the comparison/consolidation owner; morph pages answer their single morph","Keep separate; expand chart with full at-a-glance comparison table linking each morph page + price-by-morph",No,"Distinct intent (comparative vs definitional) = legitimate overlap (methodology 6/12 example)","comparison -> alternatives",low,P2
G1,"NO water-change guide (procedural gap, highest-value gap)",water change,procedure,procedural,none,none,"/tank-setup/water-change-guide (NEW)","BUILD new build-level article in tank-setup hub covering decision -> prep -> test -> equipment -> treat -> temp-match -> volume -> execute -> verify -> mistakes -> exceptions/emergency",No,"Genuine missing procedural page role with prerequisites (water-parameters-cycling) and actions (water-conditioners) already on site; not duplicative of any existing page","prerequisite -> procedure",medium,P1
G2,"metamorphosis decision (owners with metamorphosing axolotls)",neoteny,metamorphosis,problem-solving,none,none,"/biology-and-science/neoteny (expanded, kept)","EXPAND neoteny with owner-facing section 'My Axolotl Is Metamorphosing — What Should I Do?' (causes, induced metamorphosis, care changes, reversibility caveat, vet link)",No,"Expansion satisfies the intent without a new thin page; keeps biology cluster as the owner","biology -> practical application",low,P1
G3,"emergency/triage gap (what is urgent vs not, what to do now)",sick axolotl,emergency triage,problem-solving,none,none,"/health/emergency-first-aid (NEW)","BUILD new build-level article in health hub: severity triage table, immediate first steps, what NOT to do, when to see a vet now, rapid mini-guides to existing health pages",No,"Genuine missing decision intent (urgency/priority) that no existing page owns and finding-an-exotic-vet cannot absorb","problem -> solution",low,P1
G4,healthy-stool diagnostics missing,axolotl stool,diagnostic,diagnostic,none,none,none,DEFER,"Would be a thin page with no demand evidence; partially covered by parasite-treatment + malnutrition-signs; requires GSC/GKP data before building",n/a,n/a,P2
G5,legal coverage beyond current states,legal-jurisdiction,legality,location-specific,none,none,none,DEFER (verified framework exists),Deferred pending real search-demand data for additional US states/countries; current 8 pages already verified + framework in place,n/a,n/a,P2
G6,"test-kit how-to (procedure missing: how to test tank water)",water chemistry,testing procedure,procedural,none,none,"/tank-setup/water-parameters-cycling (expanded)","EXPAND water-parameters-cycling with short 'How to Test Tank Water Correctly' section (liquid vs strips, when to test, log readings) + link to /tools/nitrogen-cycle-tracker/",No,"Prerequisite knowledge for the existing canonical cycling owner; avoids a new thin page","concept -> tool",low,P2
G7,chiller sizing calculator,tool,n/a,tool/calculator,none,none,none,DEFER,Not necessary for coverage; comparative content (aquarium-chillers) + tank-size-calculator already serve the decision,n/a,n/a,P2
G8,first-year budget missing,cost,first-year cost,transactional,none,none,"/care-basics/cost-of-ownership-monthly (expanded)","EXPAND cost-of-ownership-monthly with 'First-Year Total Budget' cumulative table (purchase + setup + first-year consumables + vet reserve) citing price-by-morph + setup-guide",No,"Genuine missing state (first-year cumulative) on the canonical cost owner; no new page needed","parent -> child",low,P2
G9,nightcrawler sourcing,n/a,feeding source,procedural,none,none,none,DEFER,"Covered by best-foods-list + live-vs-frozen-food + how-to-hand-feed; no distinct entity/attribute to own",n/a,n/a,P2
G10,hatchling-pellet transition,n/a,feeding transition,procedural,none,none,none,DEFER,"Covered by feeding-schedule-by-age + axolotl-pellets + blackworms-for-juveniles + egg-and-larvae-care; adding a page would duplicate",n/a,n/a,P2
