url,cluster,tier,title,meta,headings,faq_count,words,inbound,outbound
/axolotl-in-culture,axolotl-in-culture,1,"Axolotls in Pop Culture: Minecraft, Memes & More","Why axolotls are everywhere - Minecraft axolotls, Adopt Me pets, memes, pop culture, and why this endangered salamander ",All Culture Guides | Related Topics | Care | Explore | Tools |   Axolotl in Adopt Me: How to Get One |   Axolotl in Pop Culture and Memes |   Minecraft Axolotls: Complete Guide,0,,0,4
/axolotls,axolotls,1,Axolotls: Complete Care & Biology Guide (2026),"Everything about axolotls - care, diet, legality, morphs, breeding, and the science behind their regeneration. Start her","All Care Guides | Related Topics | Care | Explore | Tools |   Axolotl Care Guide: Tank Setup, Water Parameters, Diet & Health",0,,0,1
/biology-and-science,biology-and-science,1,"Axolotl Biology: Anatomy, Neoteny & Regeneration Science","The fascinating biology of axolotls - how they breathe, neoteny, regeneration, their endangered wild status in Xochimilc",All Biology Guides | Related Topics | Care | Explore | Tools |   Axolotl Anatomy: Gills and Lungs |   Axolotl vs Tiger Salamander |   Axolotl Conservation Status,0,,0,8
/breeding,breeding,1,How to Breed Axolotls: Complete Breeding Guide (2026),"How to breed axolotls successfully - conditioning, courtship, egg care, raising larvae, and the genetics and ethics ever",All Breeding Guides | Related Topics | Care | Explore | Tools |   Axolotl Egg and Larvae Care: A Complete Guide |   Axolotl Genetics and Inbreeding Risk |   Breeding Triggers: Temperature Cycling for Axolotls,0,,0,6
/breeding/color-genetics-punnett-squares,breeding,1,Axolotl Color Genetics: Punnett Squares Explained,"How axolotl color genetics work. The four pigment genes, how Punnett squares predict offspring, and worked crosses for m",How Do Axolotl Color Genes Work? | How Do You Read an Axolotl Punnett Square? | What Does a Melanoid Cross Produce? | What Does an Albino Cross Produce? | How Do You Combine Two Genes? | What Genotype Produces Each Morph? | Frequently Asked Questions | Related guides,0,852,9,3
/care-basics,care-basics,1,"Axolotl Care Basics: Facts, Behavior & Beginner Tips","Axolotl care basics for beginners - fun facts, how to pronounce the name, behavior, handling, keeping multiple axolotls,",All Care Basics Guides | Related Topics | Care | Explore | Tools |   Are Axolotls Good Pets for Beginners? |   Axolotl Age and Size Chart |   Amazing Axolotl Facts,0,,0,10
/cost-and-buying,cost-and-buying,1,"Axolotl Cost: Price, Monthly Budget & Where to Buy (2026)","How much does an axolotl cost? Complete price breakdown - purchase price by morph, setup costs, monthly food and water b",All Cost & Buying Guides | Related Topics | Care | Explore | Tools |   Axolotl Price by Morph |   Axolotl Breeder vs Pet Store |   How to Choose a Reputable Axolotl Breeder,0,,0,6
/diet,diet,1,Axolotl Food: What to Feed & How Often,"A complete axolotl feeding guide covering safe foods, schedules by age, portions, and how to avoid overfeeding and impac",All Diet Guides | Related Topics | Care | Explore | Tools |   What Do Axolotls Eat? The Complete Diet Guide |   Axolotl Feeding Frequency by Life Stage and Size |   Best Axolotl Pellets and Commercial Foods,0,,0,12
/diet/feeding-schedule-by-age,diet,1,Axolotl Feeding Frequency by Life Stage… | Axolotl Care Guide,Axolotl Feeding Frequency by Life Stage and Size,"How Often Should You Feed an Axolotl? | Why Does Feeding Frequency Change as an Axolotl Grows? | Axolotl Feeding Schedule by Life Stage and Size | How Much Should an Axolotl Eat at Each Meal? | What Should You Feed an Axolotl, and How Often? | What Are the Signs of Overfeeding or Underfeeding an Axolotl? | How Long Can an Axolotl Go Without Food? | Does Water Temperature Affect Feeding Frequency?",10,1781,11,3
/gifts-and-merch,gifts-and-merch,1,"Axolotl Toy & Gifts: Plushies, Squishmallows, Apparel & More","The best axolotl gifts and merchandise for axolotl lovers - axolotl toys, plushies, mugs, apparel, decor, and stocking-s",All Gifts & Merch Guides | Related Topics | Care | Explore | Tools |   The Best Axolotl Toys and Plushies |   The Complete Axolotl Squishmallow Guide |   The Build-A-Bear Axolotl Guide,0,,0,4
/health,health,1,Axolotl Health Problems: Symptoms & Treatment,"Recognize the signs of a sick axolotl and learn how to treat the most common health problems - fungus, parasites, malnut","All Health Guides | Related Topics | Care | Explore | Tools |   Why Is My Axolotl Refusing to Eat? 12 Causes, Timeline and When to Worry |   Signs of Malnutrition in Axolotls |   Treating Axolotl Parasites",0,,0,18
/health/fungal-infections-saprolegnia,health,1,How to Identify and Treat Axolotl Fungus | Axolotl Care Guide,Axolotl fungus is a Saprolegnia infection — a freshwater oomycete that colonizes damaged or stressed tissue and grows in,What is axolotl fungus? | What does axolotl fungus look like? | White cotton growth on skin | Gill fungus | How to tell it apart from healthy slime coat | Behavioral symptoms | What causes axolotl fungus? | Water temperature above 22°C,4,1791,10,4
/health/refusing-to-eat,health,1,Why Is My Axolotl Refusing to Eat? 12… | Axolotl Care Guide,"Why Is My Axolotl Refusing to Eat? 12 Causes, Timeline and When to Worry",How Long Can an Axolotl Safely Go Without Eating? | Adult axolotl fasting window | Juvenile axolotl fasting window | When fasting crosses into a vet emergency | Normal fasting vs. abnormal appetite loss | Why Appetite Loss Happens: How Stress Affects an Axolotl's Feeding Response | How stress suppresses feeding drive | How prolonged appetite loss affects immune function and recovery,17,3364,11,2
/legal,legal,1,Is It Legal to Own an Axolotl? Laws by State & Country (2026),"Where are axolotls legal to own? State-by-state and country-by-country rules on keeping an axolotl, including permit req",All Legal Guides | Related Topics | Care | Explore | Tools |   Are Axolotls Legal in California? |   Are Axolotls Legal in Canada? |   Are Axolotls Legal in Hawaii?,0,,0,7
/morphs,morphs,1,"Axolotl Morphs: Colors, Types & Genetics Explained","Every axolotl morph explained - leucistic, golden albino, melanoid, wild type, copper, GFP, and more - with photos, rari","All Morphs Guides | Related Topics | Care | Explore | Tools |   Wild Type Axolotl: The Natural Color |   Chimera Axolotl: The Rarest Morph of All |   Leucistic Axolotl: The ""Lucy"" Morph",0,,0,13
/morphs/leucistic,morphs,1,"Leucistic Axolotl: Color, Genetics & How to Spot a Dirty Lucy","The leucistic axolotl is a pale pink-white morph with dark eyes and bright gills. Learn its genetics, what a dirty lucy ",What Is a Leucistic Axolotl? | How Is a Leucistic Different from an Albino? | What Is a Dirty Lucy Axolotl? | How Do Leucistic Axolotl Crosses Come Out? | Do Leucistic Axolotls Need Different Care? | Frequently Asked Questions | Related guides | Care,4,611,10,6
/morphs/wild-type,morphs,1,"Wild Type Axolotl: Color, Genetics & How to Identify One","The wild type axolotl is the natural dark-brown and olive form with speckled iridescence. Learn its genetics, how to tel",What Is a Wild Type Axolotl? | What Color Is a Wild Type Axolotl? | How Does a Wild Type Compare to Other Morphs? | What Is the Wild Type Axolotl Genotype? | How Do You Tell a Wild Type from a Melanoid? | Are Wild Type Axolotls Good Pets? | How Does a Wild Type Change with Age? | Frequently Asked Questions,0,881,9,4
/tank-setup,tank-setup,1,"Axolotl Tank Setup Guide: Size, Filter, Substrate, Water","Learn how to set up an axolotl tank correctly the first time - size, temperature, filtration, substrate, lighting, and p",All Tank Setup Guides | Related Topics | Care | Explore | Tools |   How to Set Up an Axolotl Tank the Right Way |   Best Aquarium Chillers for Axolotls |   Choosing the Best Axolotl Substrate,0,,0,17
/tank-setup/setup-guide,tank-setup,1,How to Set Up an Axolotl Tank the Right… | Axolotl Care Guide,How to Set Up an Axolotl Tank the Right Way,What tank size does an axolotl actually need? | Where should you place an axolotl tank? | What filter does an axolotl tank need? | How do you cool an axolotl tank? | What substrate is safe for an axolotl tank? | What hides and decor are safe for an axolotl tank? | Does an axolotl tank need a lid? | How do you cycle an axolotl tank before adding the animal?,5,2869,9,4
/tank-setup/water-parameters-cycling,tank-setup,1,Managing Ammonia and Nitrate Spikes in… | Axolotl Care Guide,"Managing Ammonia and Nitrate Spikes in Axolotl Tanks: What They Are, Why They Happen, and How to Fix Them",Why Water Quality Determines Axolotl Survival | The Nitrogen Cycle in an Axolotl Tank | What Is the Nitrogen Cycle and Why Does It Matter? | How Do Beneficial Bacteria Keep an Axolotl Tank Stable? | How Does Temperature Influence the Nitrogen Cycle? | What Common Mistakes Crash the Nitrogen Cycle? | Water Chemistry | What Are Safe Water Parameters for Axolotls?,6,5305,16,2
/tools,tools,1,Axolotl Tools & Calculators,"Free axolotl calculators: tank size, water conditioner dose, feeding schedule, nitrogen cycle tracker, symptom checker.",All axolotl tools | Start with the knowledge behind these tools | Care | Explore | Tools |   Axolotl Water Conditioner Dosage Calculator |   Axolotl Feeding Schedule Generator |   Axolotl Nitrogen Cycle Tracker,0,,0,4
/axolotl-in-culture/minecraft-axolotls-guide,axolotl-in-culture,2,"Minecraft Axolotls: Spawning, Colors & How to Catch Them","Everything about Minecraft axolotls - where they spawn, all 5 color variants, how to catch them in a bucket, and what th",Where do axolotls spawn in Minecraft? | What are the 5 axolotl colors in Minecraft? | How do I catch an axolotl in Minecraft? | Why are Minecraft axolotls worth having? | Frequently Asked Questions | Related guides | Care | Explore,3,462,5,3
/axolotl-in-culture/why-axolotls-are-suddenly-popular,axolotl-in-culture,2,Why Are Axolotls So Popular? The Rise of a Cute Endangered Amphibian,"Why axolotls became so popular - Minecraft, the cute-factor, regeneration science, and their endangered status - explain",Why did axolotls suddenly become so popular? | How big was the Minecraft effect? | What makes an axolotl's face so popular online? | How did regeneration science keep them famous? | Does being endangered make people care more? | Frequently Asked Questions | Related guides | Care,3,564,4,4
/axolotls/care-guide,axolotls,2,"Axolotl Care Guide: Tank Setup, Water… | Axolotl Care Guide",That permanent smile and feathery gill-crown make axolotls easy to fall for. But axolotls are not low-maintenance pets —,Quick Axolotl Care Overview | What Exactly Is an Axolotl? | Is an Axolotl Right for You? | Tank Setup & Habitat | Filtration | Why the Nitrogen Cycle Matters So Much | Water Parameters & Temperature | Water Changes & Conditioners,7,3060,7,4
/biology-and-science/anatomy-gills-and-lungs,biology-and-science,2,Do Axolotls Have Lungs? Anatomy of Gills & Breathing,"Axolotls have both external gills and lungs. They breathe mostly through their feathery gills, but also gulp air at the ",Do axolotls have lungs? | How do axolotls breathe? | How many gills does an axolotl have? | Why are axolotl gills so large? | Why does my axolotl go to the surface for air? | Can axolotls breathe out of water? | What do healthy axolotl gills look like? | What is buccal pumping?,0,627,6,6
/biology-and-science/conservation-status,biology-and-science,2,"Axolotl Conservation Status: Critically Endangered, Explained","The wild axolotl is Critically Endangered, with about 50-1,000 adults left in Xochimilco near Mexico City. Here is the f",Is the axolotl endangered? | How many axolotls are left in the wild? | What is the axolotl's official conservation status? | Where do wild axolotls live? | Why is the axolotl endangered? | Are pet axolotls endangered? | What is being done to save the wild axolotl? | Is wild extinction the end of the species?,0,743,5,4
/biology-and-science/is-axolotl-amphibian,biology-and-science,2,Is an Axolotl an Amphibian? Yes - Here's Why,"Yes, an axolotl is an amphibian - a salamander that stays aquatic for life. Here is the classification, how it differs f",Is an axolotl an amphibian? | Which class do axolotls belong to? | Are axolotls fish? | Are axolotls reptiles? | Why does an axolotl stay in the water? | What does amphibian biology mean for axolotl care? | Is an axolotl a salamander? | Why is my axolotl always in the water?,0,614,4,2
/biology-and-science/neoteny,biology-and-science,2,What Is Neoteny? Why Axolotls Never Grow Up,"Neoteny is when an animal keeps its juvenile, larval features into adulthood. The axolotl is the classic example - a sal",What is neoteny? | How is neoteny different from metamorphosis? | What causes neoteny in axolotls? | Is neoteny an advantage? | Can an axolotl be forced to metamorphose? | What is neoteny in simple terms? | Do axolotls reach full adult size? | Why do axolotls stay babies?,0,495,6,2
