/	meta	home	in=0	out=7	My Axolotl — Everything You Need to Know About Axolotls My Axolotl - Everything You Need to Know About Axolotls
/404.html	meta	404	in=0	out=0	404 Page Not Found
/about	meta	simple	in=0	out=0	About About
/axolotl-in-culture	axolotl-in-culture	hub	in=0	out=4	Axolotls in Pop Culture Axolotls in Pop Culture: Minecraft, Memes & More
/axolotl-in-culture/adopt-me-axolotl-guide	axolotl-in-culture	article	in=2	out=3	Axolotl in Adopt Me: How to Get One Axolotl in Adopt Me: How to Get One & All Colors (2026)
/axolotl-in-culture/axolotl-in-pop-culture-and-memes	axolotl-in-culture	article	in=2	out=3	Axolotl in Pop Culture and Memes Axolotl in Pop Culture: Memes, Games, TV & Why They're Famous
/axolotl-in-culture/minecraft-axolotls-guide	axolotl-in-culture	article	in=5	out=3	Minecraft Axolotls: Complete Guide Minecraft Axolotls: Spawning, Colors & How to Catch Them
/axolotl-in-culture/why-axolotls-are-suddenly-popular	axolotl-in-culture	article	in=4	out=4	Why Are Axolotls So Popular? Why Are Axolotls So Popular? The Rise of a Cute Endangered Amphibian
/axolotls	axolotls	hub	in=0	out=1	Axolotls: The Complete Guide Axolotls: Complete Care & Biology Guide (2026)
/axolotls/care-guide	axolotls	article	in=8	out=5	Axolotl Care Guide: Tank Setup, Water Parameters, Diet & Health Axolotl Care Guide: Tank Setup, Water… | Axolotl Care Guide
/biology-and-science	biology-and-science	hub	in=0	out=8	Axolotl Biology & Science Axolotl Biology: Anatomy, Neoteny & Regeneration Science
/biology-and-science/anatomy-gills-and-lungs	biology-and-science	article	in=3	out=3	Axolotl Anatomy: Gills and Lungs Do Axolotls Have Lungs? Anatomy of Gills & Breathing
/biology-and-science/axolotl-vs-tiger-salamander	biology-and-science	article	in=3	out=2	Axolotl vs Tiger Salamander Axolotl vs Tiger Salamander: Key Differences Explained
/biology-and-science/conservation-status	biology-and-science	article	in=5	out=4	Axolotl Conservation Status Axolotl Conservation Status: Critically Endangered, Explained
/biology-and-science/is-axolotl-amphibian	biology-and-science	article	in=4	out=2	Is an Axolotl an Amphibian? Is an Axolotl an Amphibian? Yes - Here's Why
/biology-and-science/lifespan-wild-vs-captivity	biology-and-science	article	in=2	out=2	Axolotl Lifespan: Wild vs Captivity Axolotl Lifespan: How Long Do Axolotls Live?
/biology-and-science/neoteny	biology-and-science	article	in=6	out=2	What Is Neoteny? What Is Neoteny? Why Axolotls Never Grow Up
/biology-and-science/regeneration-and-limb-regrowth	biology-and-science	article	in=3	out=3	Axolotl Regeneration: The Science Axolotl Regeneration: How They Regrow Limbs & Body Parts
/biology-and-science/wild-habitat-xochimilco	biology-and-science	article	in=4	out=2	Axolotl Wild Habitat: Xochimilco Axolotl Habitat: Life in Xochimilco, Mexico City
/breeding	breeding	hub	in=0	out=6	Axolotl Breeding Guide How to Breed Axolotls: Complete Breeding Guide (2026)
/breeding/breeding-triggers-temperature-cycling	breeding	article	in=4	out=2	Breeding Triggers: Temperature Cycling for Axolotls How to Trigger Axolotl Breeding: Temperature & Light Cycling
/breeding/color-genetics-punnett-squares	breeding	article	in=9	out=3	Axolotl Color Genetics: Punnett Squares Explained Axolotl Color Genetics: Punnett Squares Explained
/breeding/egg-and-larvae-care	breeding	article	in=5	out=2	Axolotl Egg and Larvae Care: A Complete Guide Axolotl Egg Care: Hatching Time, Setup & Feeding Larvae
/breeding/genetics-and-inbreeding	breeding	article	in=3	out=2	Axolotl Genetics and Inbreeding Risk Axolotl Genetics & Inbreeding Risk: What Breeders Must Know
/breeding/raising-juveniles	breeding	article	in=4	out=2	Raising Baby Axolotls (Juveniles) to Adulthood Raising Baby Axolotls: Feeding, Growth & Rehoming Juveniles
/breeding/sexing-axolotls	breeding	article	in=2	out=2	How to Tell Axolotl Gender (Sexing Guide) How to Tell Axolotl Gender: Male vs Female Cloaca Guide
